Row ID;Row Name;isStrengthCorrect_byPhysics;isDexterityCorrect_byPhysics;isMagicCorrect_byPhysics;isFaithCorrect_byPhysics;isLuckCorrect_byPhysics;isStrengthCorrect_byMagic;isDexterityCorrect_byMagic;isMagicCorrect_byMagic;isFaithCorrect_byMagic;isLuckCorrect_byMagic;isStrengthCorrect_byFire;isDexterityCorrect_byFire;isMagicCorrect_byFire;isFaithCorrect_byFire;isLuckCorrect_byFire;isStrengthCorrect_byThunder;isDexterityCorrect_byThunder;isMagicCorrect_byThunder;isFaithCorrect_byThunder;isLuckCorrect_byThunder;isStrengthCorrect_byDark;isDexterityCorrect_byDark;isMagicCorrect_byDark;isFaithCorrect_byDark;isLuckCorrect_byDark;pad1;overwriteStrengthCorrectRate_byPhysics;overwriteDexterityCorrectRate_byPhysics;overwriteMagicCorrectRate_byPhysics;overwriteFaithCorrectRate_byPhysics;overwriteLuckCorrectRate_byPhysics;overwriteStrengthCorrectRate_byMagic;overwriteDexterityCorrectRate_byMagic;overwriteMagicCorrectRate_byMagic;overwriteFaithCorrectRate_byMagic;overwriteLuckCorrectRate_byMagic;overwriteStrengthCorrectRate_byFire;overwriteDexterityCorrectRate_byFire;overwriteMagicCorrectRate_byFire;overwriteFaithCorrectRate_byFire;overwriteLuckCorrectRate_byFire;overwriteStrengthCorrectRate_byThunder;overwriteDexterityCorrectRate_byThunder;overwriteMagicCorrectRate_byThunder;overwriteFaithCorrectRate_byThunder;overwriteLuckCorrectRate_byThunder;overwriteStrengthCorrectRate_byDark;overwriteDexterityCorrectRate_byDark;overwriteMagicCorrectRate_byDark;overwriteFaithCorrectRate_byDark;overwriteLuckCorrectRate_byDark;InfluenceStrengthCorrectRate_byPhysics;InfluenceDexterityCorrectRate_byPhysics;InfluenceMagicCorrectRate_byPhysics;InfluenceFaithCorrectRate_byPhysics;InfluenceLuckCorrectRate_byPhysics;InfluenceStrengthCorrectRate_byMagic;InfluenceDexterityCorrectRate_byMagic;InfluenceMagicCorrectRate_byMagic;InfluenceFaithCorrectRate_byMagic;InfluenceLuckCorrectRate_byMagic;InfluenceStrengthCorrectRate_byFire;InfluenceDexterityCorrectRate_byFire;InfluenceMagicCorrectRate_byFire;InfluenceFaithCorrectRate_byFire;InfluenceLuckCorrectRate_byFire;InfluenceStrengthCorrectRate_byThunder;InfluenceDexterityCorrectRate_byThunder;InfluenceMagicCorrectRate_byThunder;InfluenceFaithCorrectRate_byThunder;InfluenceLuckCorrectRate_byThunder;InfluenceStrengthCorrectRate_byDark;InfluenceDexterityCorrectRate_byDark;InfluenceMagicCorrectRate_byDark;InfluenceFaithCorrectRate_byDark;InfluenceLuckCorrectRate_byDark;pad2
0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1000;;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1001;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1002;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1010;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1011;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1012;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1013;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1014;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1015;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1016;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1020;;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1030;;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1040;;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1041;;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
1042;;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
10000;Weapon - Default;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
10005;Weapon - Fire Scaling;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
10013;Weapon - Arcane Scaling;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
10100;Arcane Weapon - Split Scaling;1;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
12000;;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
12005;;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
12013;;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
13000;;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
15000;;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
20000;Sorcery Catalyst - INT;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
20010;Sorcery Catalyst - INT/FTH;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
20020;Sorcery Catalyst - FTH;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
20030;Sorcery Catalyst - INT/ARC;0;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
30000;Incantation Catalyst - FTH;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;000000000000000000000000000000000000000000000000;
