Row ID;Row Name;disableParam_NT;disableParamReserve1;disableParamReserve2;refId_default;sfxVariationId;weight;basicPrice;sellValue;behaviorId;replaceItemId;sortId;appearanceReplaceItemId;yesNoDialogMessageId;useEnableSpEffectType;potGroupId;pad;iconId;modelId;shopLv;compTrophySedId;trophySeqId;maxNum;consumeHeroPoint;overDexterity;goodsType;refCategory;spEffectCategory;pad3;goodsUseAnim;opmeMenuType;useLimitCategory;replaceCategory;reserve4;enable_live;enable_gray;enable_white;enable_black;enable_multi;disable_offline;isEquip;isConsume;isAutoEquip;isEstablishment;isOnlyOne;isDiscard;isDeposit;isDisableHand;isRemoveItem_forGameClear;isSuppleItem;isFullSuppleItem;isEnhance;isFixItem;disableMultiDropShare;disableUseAtColiseum;disableUseAtOutOfColiseum;isEnableFastUseItem;isApplySpecialEffect;syncNumVaryId;refId_1;refVirtualWepId;vagrantItemLotId;vagrantBonusEneDropItemLotId;vagrantItemEneDropItemLotId;castSfxId;fireSfxId;effectSfxId;enable_ActiveBigRune;isBonfireWarpItem;enable_Ladder;isUseMultiPlayPreparation;canMultiUse;isShieldEnchant;isWarpProhibited;isUseMultiPenaltyOnly;suppleType;autoReplenishType;isDrop;showLogCondType;isSummonHorse;showDialogCondType;isSleepCollectionItem;enableRiding;disableRiding;maxRepositoryNum;sortGroupId;isUseNoAttackRegion;pad1;saleValue;rarity;useLimitSummonBuddy;useLimitSpEffectType;aiUseJudgeId;consumeMP;consumeHP;reinforceGoodsId;reinforceMaterialId;reinforcePrice;useLevel_vowType0;useLevel_vowType1;useLevel_vowType2;useLevel_vowType3;useLevel_vowType4;useLevel_vowType5;useLevel_vowType6;useLevel_vowType7;useLevel_vowType8;useLevel_vowType9;useLevel_vowType10;useLevel_vowType11;useLevel_vowType12;useLevel_vowType13;useLevel_vowType14;useLevel_vowType15;useLevel;reserve5;itemGetTutorialFlagId;reserve3
0;;0;0;000000;-1;-1;0;0;0;0;-1;-1;-1;-1;0;-1;00;0;0;0;-1;-1;1;0;0;0;0;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;0;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;1;0;0;255;1;0;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
10;;1;0;000000;501050;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;6;0;0;0;0000;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;302060;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
11;;1;0;000000;501051;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;14;0;0;0;0000;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
12;;1;0;000000;81;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;1;0;50;0;2;0;00;6;0;0;0;0000;1;1;1;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;1;2;0;1;0;0;255;1;0;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
13;;1;0;000000;8060;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;1;0;50;0;2;0;00;14;0;0;0;0000;1;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;301000;-1;301002;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
14;;1;0;000000;8061;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;1;0;50;0;2;0;00;14;0;0;0;0000;1;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;301000;-1;301002;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
15;;1;0;000000;8062;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;1;0;50;0;2;0;00;14;0;0;0;0000;1;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;301000;-1;301002;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
16;;1;0;000000;8070;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;1;0;50;0;2;0;00;14;0;0;0;0000;1;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;301000;-1;301002;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
20;;1;0;000000;124;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;1;0;50;0;1;0;00;2;0;0;0;0000;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;302000;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
21;;1;0;000000;-1;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;00;4121;0;-1;-1;-1;99;0;0;5;0;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
