Row ID;Row Name;disableParam_NT;disableParamReserve1;disableParamReserve2;refId;sfxVariationId;weight;behaviorId;basicPrice;sellValue;sortId;qwcId;equipModelId;iconId;shopLv;trophySGradeId;trophySeqId;equipModelCategory;equipModelGender;accessoryCategory;refCategory;spEffectCategory;sortGroupId;vagrantItemLotId;vagrantBonusEneDropItemLotId;vagrantItemEneDropItemLotId;isDeposit;isEquipOutBrake;disableMultiDropShare;isDiscard;isDrop;showLogCondType;showDialogCondType;rarity;pad2;saleValue;accessoryGroup;pad3;compTrophySedId;residentSpEffectId1;residentSpEffectId2;residentSpEffectId3;residentSpEffectId4;pad1
1000;Crimson Amber Medallion;0;0;000000;310000;-1;0.3;0;0;100;400000;0;0;18000;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1000;00;-1;0;0;0;0;00000000;
1001;Crimson Amber Medallion +1;1;0;000000;310010;-1;0.3;0;0;500;400010;0;0;18001;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1000;00;-1;0;0;0;0;00000000;
1002;Crimson Amber Medallion +2;1;0;000000;310020;-1;0.3;0;0;1000;400020;0;0;18002;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1000;00;-1;0;0;0;0;00000000;
1010;Cerulean Amber Medallion;1;0;000000;310100;-1;0.3;0;0;100;400050;0;0;18010;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1010;00;-1;0;0;0;0;00000000;
1011;Cerulean Amber Medallion +1;1;0;000000;310110;-1;0.3;0;0;500;400060;0;0;18011;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1010;00;-1;0;0;0;0;00000000;
1012;Cerulean Amber Medallion +2;1;0;000000;310120;-1;0.3;0;0;1000;400070;0;0;18012;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1010;00;-1;0;0;0;0;00000000;
1020;Viridian Amber Medallion;0;0;000000;310200;-1;0.3;0;0;100;400090;0;0;18020;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1020;00;-1;0;0;0;0;00000000;
1021;Viridian Amber Medallion +1;1;0;000000;310210;-1;0.3;0;0;500;400100;0;0;18021;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1020;00;-1;0;0;0;0;00000000;
1022;Viridian Amber Medallion +2;1;0;000000;310220;-1;0.3;0;0;1000;400110;0;0;18022;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1020;00;-1;0;0;0;0;00000000;
1030;Arsenal Charm;0;0;000000;310300;-1;1.5;0;0;100;400130;0;0;18030;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1030;00;-1;0;0;0;0;00000000;
1031;Arsenal Charm +1;1;0;000000;310310;-1;1.5;0;0;500;400140;0;0;18031;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1030;00;-1;0;0;0;0;00000000;
1032;Great-Jar's Arsenal;1;0;000000;310320;-1;1.5;0;0;1000;400150;0;0;18032;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1030;00;-1;0;0;0;0;00000000;
1040;Erdtree's Favor;1;0;000000;310400;-1;1.5;0;0;500;400160;0;0;18040;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1040;00;-1;0;0;0;0;00000000;
1041;Erdtree's Favor +1;1;0;000000;310410;-1;1.5;0;0;1500;400170;0;0;18041;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1040;00;-1;0;0;0;0;00000000;
1042;Erdtree's Favor +2;1;0;000000;310420;-1;1.5;0;0;3000;400180;0;0;18042;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;3;0000;0;1040;00;17;0;0;0;0;00000000;
1050;Radagon's Scarseal;1;0;000000;310500;-1;0.8;0;0;3000;400190;0;0;18050;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1050;00;-1;0;0;0;0;00000000;
1051;Radagon's Soreseal;1;0;000000;310510;-1;0.8;0;0;3000;400200;0;0;18051;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;3;0000;0;1050;00;17;0;0;0;0;00000000;
1060;Starscourge Heirloom;1;0;000000;310600;-1;0.8;0;0;1000;400230;0;0;18070;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1060;00;-1;0;0;0;0;00000000;
1070;Prosthesis-Wearer Heirloom;1;0;000000;310700;-1;0.8;0;0;1000;400240;0;0;18080;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1070;00;-1;0;0;0;0;00000000;
1080;Stargazer Heirloom;1;0;000000;310800;-1;0.6;0;0;1000;400250;0;0;18090;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1080;00;-1;0;0;0;0;00000000;
1090;Two Fingers Heirloom;1;0;000000;310900;-1;0.6;0;0;1000;400260;0;0;18100;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1090;00;-1;0;0;0;0;00000000;
1100;Silver Scarab;1;0;000000;311000;-1;1.2;0;0;500;406150;0;0;18110;-1;-1;-1;0;0;0;2;0;70;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1100;00;-1;0;0;0;0;00000000;
1110;Gold Scarab;1;0;000000;311100;-1;1.2;0;0;500;406140;0;0;18120;-1;-1;-1;0;0;0;2;0;70;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1110;00;-1;0;0;0;0;00000000;
1140;Moon of Nokstella;1;0;000000;311400;-1;0.8;0;0;2000;403050;0;0;18150;-1;-1;-1;0;0;0;2;0;40;-1;-1;-1;1;0;0;1;1;1;2;3;0000;0;1140;00;17;0;0;0;0;00000000;
1150;Green Turtle Talisman;1;0;000000;311500;-1;0.7;0;0;500;400120;0;0;18160;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1150;00;-1;0;0;0;0;00000000;
1160;Stalwart Horn Charm;1;0;000000;311600;-1;0.6;0;0;500;401210;0;0;18170;-1;-1;-1;0;0;0;2;0;20;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1160;00;-1;0;0;0;0;00000000;
1161;Stalwart Horn Charm +1;1;0;000000;311610;-1;0.6;0;0;1000;401220;0;0;18171;-1;-1;-1;0;0;0;2;0;20;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1160;00;-1;0;0;0;0;00000000;
1170;Immunizing Horn Charm;1;0;000000;311700;-1;0.6;0;0;500;401190;0;0;18180;-1;-1;-1;0;0;0;2;0;20;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1170;00;-1;0;0;0;0;00000000;
1171;Immunizing Horn Charm +1;1;0;000000;311710;-1;0.6;0;0;1000;401200;0;0;18181;-1;-1;-1;0;0;0;2;0;20;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1170;00;-1;0;0;0;0;00000000;
1180;Clarifying Horn Charm;1;0;000000;311800;-1;0.6;0;0;500;401230;0;0;18190;-1;-1;-1;0;0;0;2;0;20;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1180;00;-1;0;0;0;0;00000000;
1181;Clarifying Horn Charm +1;1;0;000000;311810;-1;0.6;0;0;1000;401240;0;0;18191;-1;-1;-1;0;0;0;2;0;20;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1180;00;-1;0;0;0;0;00000000;
1190;Prince of Death's Pustule;1;0;000000;311900;-1;0.6;0;0;500;401270;0;0;3220;-1;-1;-1;0;0;0;2;0;20;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1190;00;-1;0;0;0;0;00000000;
1191;Prince of Death's Cyst;1;0;000000;311910;-1;0.6;0;0;1000;401280;0;0;18201;-1;-1;-1;0;0;0;2;0;20;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1190;00;-1;0;0;0;0;00000000;
1200;Mottled Necklace;1;0;000000;312000;-1;0.9;0;0;1000;401250;0;0;18210;-1;-1;-1;0;0;0;2;0;20;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1200;00;-1;0;0;0;0;00000000;
1201;Mottled Necklace +1;1;0;000000;312010;-1;0.9;0;0;2000;401260;0;0;18211;-1;-1;-1;0;0;0;2;0;20;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1200;00;-1;0;0;0;0;00000000;
1210;Bull-Goat's Talisman;1;0;000000;312100;-1;0.5;0;0;1000;405000;0;0;18220;-1;-1;-1;0;0;0;2;0;60;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1210;00;-1;0;0;0;0;00000000;
1220;Marika's Scarseal;1;0;000000;312200;-1;0.8;0;0;3000;400210;0;0;18060;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1220;00;-1;0;0;0;0;00000000;
1221;Marika's Soreseal;1;0;000000;312210;-1;0.8;0;0;3000;400220;0;0;18061;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;1;0;0;1;1;1;2;3;0000;0;1220;00;17;0;0;0;0;00000000;
1230;Warrior Jar Shard;1;0;000000;312300;-1;0.9;0;0;500;404040;0;0;18870;-1;-1;-1;0;0;0;2;0;50;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1230;00;-1;0;0;0;0;00000000;
1231;Shard of Alexander;1;0;000000;312310;-1;0.9;0;0;1000;404050;0;0;18871;-1;-1;-1;0;0;0;2;0;50;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1230;00;-1;0;0;0;0;00000000;
1250;Millicent's Prosthesis;1;0;000000;312500;-1;1.6;0;0;1000;406080;0;0;18890;-1;-1;-1;0;0;0;2;0;70;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;1250;00;-1;312501;312502;312503;312504;00000000;
2000;Magic Scorpion Charm;1;0;000000;320000;-1;0.8;0;0;500;405020;0;0;18230;-1;-1;-1;0;0;0;2;0;60;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;2000;00;-1;0;0;0;0;00000000;
2010;Lightning Scorpion Charm;1;0;000000;320100;-1;0.8;0;0;500;405040;0;0;18240;-1;-1;-1;0;0;0;2;0;60;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;2010;00;-1;0;0;0;0;00000000;
2020;Fire Scorpion Charm;1;0;000000;320200;-1;0.8;0;0;500;405030;0;0;18250;-1;-1;-1;0;0;0;2;0;60;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;2020;00;-1;0;0;0;0;00000000;
2030;Sacred Scorpion Charm;1;0;000000;320300;-1;0.8;0;0;500;405050;0;0;18260;-1;-1;-1;0;0;0;2;0;60;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;2030;00;-1;0;0;0;0;00000000;
2040;Red-Feathered Branchsword;1;0;000000;320400;-1;1.4;0;0;500;406000;0;0;18270;-1;-1;-1;0;0;0;2;0;70;-1;-1;-1;1;0;0;1;1;1;2;2;0000;0;2040;00;-1;0;0;0;0;00000000;
